"satpdbid","id"
"satpdb10672","ahtpdb_1672"
"satpdb10673","ahtpdb_1673"
"satpdb10674","ahtpdb_1674"
"satpdb10675","ahtpdb_1675"
"satpdb10676","ahtpdb_1676"
"satpdb10677","ahtpdb_1677"
"satpdb10678","ahtpdb_1678"
"satpdb10679","ahtpdb_1679"
"satpdb10680","ahtpdb_1680"
"satpdb10681","ahtpdb_1681"
"satpdb10682","ahtpdb_1682"
"satpdb10683","ahtpdb_1683"
"satpdb10684","ahtpdb_1684"
"satpdb10685","ahtpdb_1685"
"satpdb10686","ahtpdb_1686"
"satpdb10687","ahtpdb_1687"
"satpdb10688","ahtpdb_1688"
"satpdb10689","ahtpdb_1689"
"satpdb10690","ahtpdb_1690"
"satpdb10691","ahtpdb_1691"
"satpdb10692","ahtpdb_1692"
"satpdb10693","ahtpdb_1693"
"satpdb10694","ahtpdb_1694"
"satpdb10695","ahtpdb_1695"
"satpdb10696","ahtpdb_1696"
"satpdb10697","ahtpdb_1697"
"satpdb10698","ahtpdb_1698"
"satpdb10699","ahtpdb_1699"
"satpdb10700","ahtpdb_1700"
"satpdb10701","ahtpdb_1701"
"satpdb10702","ahtpdb_1702"
"satpdb10703","ahtpdb_1703"
"satpdb10704","ahtpdb_1704"
"satpdb10705","ahtpdb_1705"
"satpdb10706","ahtpdb_1706"
"satpdb10707","ahtpdb_1707"
"satpdb10708","ahtpdb_1708"
"satpdb10709","ahtpdb_1709"
"satpdb10710","ahtpdb_1710"
"satpdb10711","ahtpdb_1711"
"satpdb10712","ahtpdb_1712"
"satpdb10713","ahtpdb_1713"
"satpdb10714","ahtpdb_1714"
"satpdb10715","ahtpdb_1715"
"satpdb10716","ahtpdb_1716"
"satpdb10717","ahtpdb_1717"
"satpdb10718","ahtpdb_1718"
"satpdb10719","ahtpdb_1719"
"satpdb10720","ahtpdb_1720"
"satpdb10721","ahtpdb_1721"
"satpdb10722","ahtpdb_1722"
"satpdb10723","ahtpdb_1723"
"satpdb10724","ahtpdb_1724"
"satpdb10725","ahtpdb_1725"
"satpdb10726","ahtpdb_1726"
"satpdb10727","ahtpdb_1727"
"satpdb10728","ahtpdb_1728"
"satpdb10729","ahtpdb_1729"
"satpdb10730","ahtpdb_1730"
"satpdb10731","ahtpdb_1731"
"satpdb10732","ahtpdb_1732"
"satpdb10733","ahtpdb_1733"
"satpdb10734","ahtpdb_1734"
